TRADEG,TDECDEG,MJD_OBS
84.45703300,-39.54119300,58440.33324377
75.25387500,-29.43149900,58457.29820210
5.87612900,-49.71969300,58376.33961296
45.22612500,-42.61941500,58428.32364916
38.50579600,-14.21466600,58411.33233911
317.83890000,-40.59002700,58431.04986012
90.57900000,-33.48827700,58466.18535146
9.61591700,-26.38761000,58451.11643527
339.60860800,-1.02522200,58378.23231169
320.77845000,-63.92313700,58418.02701534
1.37262100,-47.69169300,58428.21826373
327.30260800,-46.67669300,58431.09472720
96.36145400,-55.77363700,58460.32711749
70.89658300,-39.57636000,58457.31967522
352.72149200,-63.92327600,58449.04974874
306.54399200,-57.83713700,58390.07360265
30.51412500,2.50819400,58370.27908560
49.30450400,-38.56211000,58430.32185081
59.74708300,-62.90827600,58454.25167055
48.35207900,-10.15611100,58437.28328508
307.04777900,-47.69177600,58418.02239658
24.01865800,-41.60527700,58453.20127261
20.82508300,-32.47430500,58454.06137601
70.51516700,-43.63219300,58458.31621855
67.49412100,-33.48802700,58458.05192757
61.98225000,-50.73461000,58454.30300337
318.44902500,-44.64802600,58430.09514339
59.73182900,-55.80716500,58455.23875286
11.36479600,-29.43069400,58378.37048430
24.04070800,-52.76358200,58454.05246719
80.19325400,-55.80708200,58459.26505317
31.46195800,-20.30102700,58438.24652273
26.85984200,-44.64836000,58428.28096244
344.35774600,-55.80644300,58376.30308895
336.32599600,-50.73505400,58375.20160645
9.76150400,-20.30061100,58451.11079033
34.41225000,-26.38747100,58452.22296431
80.91162100,-32.47349900,58458.08981350
5.13062900,-5.08336100,58431.14287282
41.08950000,-38.56216600,58430.32690428
18.62179600,-27.40213800,58452.19139156
93.80557500,-50.69958200,58439.33648516
53.99020400,-55.80749800,58453.28057820
341.32069600,-40.58961000,58376.22094314
74.56228300,-53.77810900,58455.22208464
82.40112100,-25.37302700,58460.27606103
52.15715800,-45.66197100,58454.29057907
309.69223300,-62.90944300,58390.06791955
85.62979600,-40.59019300,58465.12915077
344.55565400,-57.83549800,58376.31152537
21.91021700,-23.34391600,58377.36827073
356.89294600,-43.63377600,58450.09155818
27.74053300,-9.14172200,58452.09788334
50.03683300,-13.20072200,58429.25406981
52.76608300,-49.72002600,58454.23981508
79.90957500,-23.32727700,58492.18630495
28.86337500,-10.15619400,58452.10345325
24.45133300,-22.29630500,58371.24566397
73.30537500,-32.47344300,58458.08433471
24.60609200,-54.79266500,58454.04143254
65.54299600,-56.82127600,58454.31696744
326.28490400,-41.60455400,58431.07764784
318.84390000,-0.01191700,58390.01177733
19.51050000,-39.57633200,58430.25347027
359.24640000,-46.67719300,58450.05899275
36.98158300,-38.56155400,58453.23601962
82.22592100,-21.31533300,58460.21389336
45.26128300,-46.67736000,58428.24960353
33.48987100,-34.50372100,58453.23186015
4.36816700,-57.83647000,58450.10401881
358.70165800,-48.70605400,58428.21550311
339.06028300,-45.66288800,58429.06602245
93.85265800,-43.59822100,58458.31145497
27.42182900,-37.54677700,58455.03739371
80.61867100,-59.86488700,58459.26077315
337.98169600,-63.92241500,58376.27325477
28.57317100,-46.64327600,58371.35118934
341.47032100,-54.79197100,58376.30170188
96.97183300,-53.74397100,58431.34056229
